id	label	star_count	language
awesome-python	awesome-python	56754	Python
system-design-primer	system-design-primer	50975	Python
models	models	43436	Python
public-apis	public-apis	43264	Python
youtube-dl	youtube-dl	43199	Python
flask	flask	39676	Python
thefuck	thefuck	38304	Python
httpie	httpie	37902	Python
django	django	37229	Python
awesome-machine-learning	awesome-machine-learning	36061	Python
requests	requests	35363	Python
keras	keras	34807	Python
ansible	ansible	33412	Python
scikit-learn	scikit-learn	31318	Python
scrapy	scrapy	29747	Python
shadowsocks	shadowsocks	27136	Python
XX-Net	XX-Net	25180	Python
big-list-of-naughty-strings	big-list-of-naughty-strings	24304	Python
certbot	certbot	23489	Python
you-get	you-get	20679	Python
cpython	cpython	20508	Python
CppCoreGuidelines	CppCoreGuidelines	20136	Python
Deep-Learning-Papers-Reading-Roadmap	Deep-Learning-Papers-Reading-Roadmap	19883	Python
tldr	tldr	18972	Python
sentry	sentry	18520	Python
linux-insides	linux-insides	18410	Python
face_recognition	face_recognition	17936	Python
home-assistant	home-assistant	17898	Python
python-patterns	python-patterns	17647	Python
YouCompleteMe	YouCompleteMe	17615	Python
Detectron	Detectron	17185	Python
tornado	tornado	16693	Python
pandas	pandas	16572	Python
Python	Python	16194	Python
jieba	jieba	15672	Python
interactive-coding-challenges	interactive-coding-challenges	15554	Python
incubator-mxnet	incubator-mxnet	15479	Python
reddit	reddit	14715	Python
cheat.sh	cheat.sh	14399	Python
pipenv	pipenv	14179	Python
compose	compose	14142	Python
data-science-ipython-notebooks	data-science-ipython-notebooks	14122	Python
gym	gym	14058	Python
macOS-Security-and-Privacy-Guide	macOS-Security-and-Privacy-Guide	13991	Python
wechat_jump_game	wechat_jump_game	13918	Python
localstack	localstack	13851	Python
source-code-pro	source-code-pro	13450	Python
algorithms	algorithms	13134	Python
ItChat	ItChat	13131	Python
ipython	ipython	13112	Python
mitmproxy	mitmproxy	12916	Python
ZeroNet	ZeroNet	12784	Python
sqlmap	sqlmap	12578	Python
python-fire	python-fire	12519	Python
pyspider	pyspider	12156	Python
glances	glances	12098	Python
django-rest-framework	django-rest-framework	12042	Python
chinese-poetry	chinese-poetry	11659	Python
magenta	magenta	11289	Python
spaCy	spaCy	11134	Python
algo	algo	10915	Python
bitcoinbook	bitcoinbook	10890	Python
celery	celery	10806	Python
hosts	hosts	10722	Python
fabric	fabric	10676	Python
material-theme	material-theme	10635	Python
redash	redash	10610	Python
sanic	sanic	10530	Python
ML-From-Scratch	ML-From-Scratch	10351	Python
luigi	luigi	10313	Python
iTerm2-Color-Schemes	iTerm2-Color-Schemes	9893	Python
docker_practice	docker_practice	9886	Python
incubator-airflow	incubator-airflow	9726	Python
Awesome-Linux-Software	Awesome-Linux-Software	9723	Python
pix2code	pix2code	9650	Python
powerline	powerline	9502	Python
salt	salt	9328	Python
nginx-proxy	nginx-proxy	9295	Python
sshuttle	sshuttle	9019	Python
RocAlphaGo	RocAlphaGo	8874	Python
neural-doodle	neural-doodle	8771	Python
FastPhotoStyle	FastPhotoStyle	8674	Python
tflearn	tflearn	8641	Python
Theano	Theano	8539	Python
locust	locust	8535	Python
neural-enhance	neural-enhance	8520	Python
bokeh	bokeh	8340	Python
beets	beets	8335	Python
Mask_RCNN	Mask_RCNN	8312	Python
kivy	kivy	8304	Python
pelican	pelican	8279	Python
zulip	zulip	8257	Python
autojump	autojump	8234	Python
yapf	yapf	8121	Python
cookiecutter	cookiecutter	8120	Python
matplotlib	matplotlib	8120	Python
Algorithm_Interview_Notes-Chinese	Algorithm_Interview_Notes-Chinese	8117	Python
wtfpython	wtfpython	8066	Python
Zappa	Zappa	8021	Python
gensim	gensim	7986	Python
